projects_id,project_title,project_description,technology_stack,domain,skills_required,difficulty_level,prerequisties,project_type,duration,tags,reference_link,resource_link,user_ratings_avg
P001,Customer Segmentation using K-Means Clustering,"This project uses unsupervised learning to divide a customer base into segments, helping businesses target marketing strategies more effectively using K-Means clustering.","Python, Scikit-learn, Pandas, Matplotlib",Datascience,"K-Means, Clustering",Intermediate,"Basic Statistics, Python",Implementation,2 months,"Clustering, Data Science",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22Customer+Segmentation+using+K-Means+Clustering%22&btnG=,https://github.com/NelakurthiSudheer/Mall-Customers-Segmentation,4.5/5
P002,House Price Prediction Model,"This project uses regression algorithms to predict the price of a house based on features such as square footage, location, and other factors using a dataset like Boston Housing.","Python, Scikit-learn, Pandas, Matplotlib",Datascience,"Linear Regression, Data Preprocessing",Intermediate,"Linear Algebra, Python",Implementation,3 months,"Regression, Real Estate",https://scholar.google.com/scholar?hl=en&as_sdt=05&q=House+Price+Prediction+Model+USING+Data+Science,https://github.com/MYoussef885/House_Price_Prediction,4.2/5
P003,Sentiment Analysis on Social Media Posts,"This project processes social media posts to analyze sentiments using natural language processing (NLP) techniques, helping businesses understand public opinion on products or services.","Python, NLTK, Scikit-learn",Datascience,"Sentiment Analysis, NLP",Intermediate,"Python, Basic NLP",Research,2 months,"Sentiment Analysis, NLP",https://scholar.google.com/scholar?hl=en&as_sdt=0_5&q=Sentiment+Analysis+on+Social+Media+Posts+using+data+science,https://github.com/vijit-kala/Social-Media-Sentiment-Analysis-Using-Machine-Learning,4.8/5
P004,Stock Market Price Prediction using LSTM,"This project uses long short-term memory (LSTM) networks to predict future stock prices by learning from historical stock price data, helping investors make informed decisions.","Python, TensorFlow, Keras, LSTM",Datascience,"Time Series, LSTM, Deep Learning",Advanced,"Time Series, Python",Research,4 months,"LSTM, Stock Market",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Stock+Market+Price+Prediction+using+LSTM&btnG=,https://github.com/034adarsh/Stock-Price-Prediction-Using-LSTM,4.6/5
P005,Image Classification using Convolutional Neural Networks,"This project builds an image classifier using convolutional neural networks (CNNs) to classify images into categories, commonly used in computer vision applications.","Python, Keras, TensorFlow, OpenCV",Datascience,"CNN, Image Processing",Advanced,"Machine Learning Basics, Python",Implementation,3 months,"CNN, Computer Vision",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Image+Classification+using+Convolutional+Neural+Networks&btnG=,https://github.com/anubhavparas/image-classification-using-cnn,4.3/5
P006,Recommendation System using Collaborative Filtering,"This project develops a recommendation system for e-commerce or media platforms, providing personalized suggestions based on collaborative filtering techniques.","Python, Scikit-learn, Pandas, Surprise",Datascience,"Collaborative Filtering, Matrix Factorization",Intermediate,"Python, Basic ML",Implementation,2 months,"Recommendation, Machine Learning",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Recommendation+System+using+Collaborative+Filtering&btnG=,https://github.com/pratiknabriya/Recommender-System-Collaborative-Filtering-MovieLens,4.7/5
P007,Churn Prediction for Telecom Customers,This project uses machine learning algorithms to predict whether a customer is likely to churn (leave the service) based on their usage and behavior patterns in the telecom industry.,"Python, Scikit-learn, Pandas, Matplotlib",Datascience,"Logistic Regression, Classification",Intermediate,"Statistics, Python",Implementation,2 months,"Churn Prediction, Telecom",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Churn+Prediction+for+Telecom+Customers&btnG=,https://github.com/ChaitanyaC22/Telecom-Churn-Prediction,4.0/5
P008,Data Cleaning and Feature Engineering for ML Models,"This project explores the process of preparing raw data for machine learning models, focusing on techniques like handling missing values, encoding categorical variables, and feature scaling.","Python, Pandas, Scikit-learn",Datascience,"Data Cleaning, Feature Engineering",Beginner,"Python, ML Basics",Implementation,1 months,"Data Preprocessing, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Data+Cleaning+and+Feature+Engineering+for+ML+Models&btnG=,https://github.com/ashishpatel26/Amazing-Feature-Engineering,4.4/5
P009,Time Series Forecasting with ARIMA,"This project uses ARIMA models to predict future values in time series data, such as predicting sales or stock prices, helping businesses with forecasting.","Python, Statsmodels, Pandas",Datascience,"Time Series, ARIMA",Intermediate,"Statistics, Python",Research,3 months,"Time Series, Forecasting",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Time+Series+Forecasting+with+ARIMA&btnG=,https://github.com/microsoft/ML-For-Beginners/blob/main/7-TimeSeries/2-ARIMA/README.md,4.2/5
P010,Clustering Analysis of Customer Behavior,"This project uses clustering algorithms to group customers based on purchasing habits, providing insights for targeted marketing strategies.","Python, Scikit-learn, Pandas, Matplotlib",Datascience,"Clustering, Data Mining",Intermediate,"Data Analysis, Python",Implementation,2 months,"Clustering, Customer Behavior",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Clustering+Analysis+of+Customer+Behavior&btnG=,https://github.com/rnurgulmez/Customer-Behavior-Clustering,4.1/5
